sha,date,todo,revisit,fixme
d5bcec9,2023-08-10T10:27:58+00:00,60,86,4
19895cd,2023-08-10T12:24:04+00:00,60,86,4
51a37f5,2023-08-11T14:44:22+02:00,65,86,4
b3f37fb,2023-08-11T14:49:37+02:00,65,86,4
cfa23bf,2023-08-11T13:01:12+00:00,60,86,4
c80c8f6,2023-08-11T15:54:47+02:00,60,87,4
00f14aa,2023-08-14T08:26:23+00:00,60,86,4
0e1fbac,2023-08-14T12:37:47+02:00,60,88,4
0ef636f,2023-08-14T12:55:48+02:00,60,88,4
ac5be1d,2023-08-14T12:58:01+02:00,63,113,4
8e95061,2023-08-14T12:59:15+02:00,63,115,4
093f5fe,2023-08-14T13:01:08+02:00,63,115,4
10b5e60,2023-08-14T13:11:15+02:00,63,113,4
006fcdb,2023-08-14T16:35:03+02:00,63,113,4
05f3538,2023-08-15T11:40:29+00:00,63,112,4
ebf1011,2023-08-15T13:42:08+02:00,63,112,4
8965f8e,2023-08-15T13:19:47+00:00,63,112,4
49ff157,2023-08-15T15:48:25+02:00,63,113,4
929f256,2023-08-18T13:21:41+00:00,63,111,4
f31960e,2023-08-18T17:42:18+02:00,63,111,4
ee05395,2023-08-18T15:57:27+00:00,63,111,4
fd0957d,2023-08-18T19:13:13+00:00,63,111,4
14a0874,2023-08-21T13:00:57+02:00,63,111,4
42b6ed6,2023-08-21T15:59:04+02:00,63,112,4
e697168,2023-08-21T15:59:49+02:00,63,111,4
cff3058,2023-08-23T10:29:08+02:00,63,111,4
3d719c9,2023-08-23T08:31:50+00:00,63,111,4
35f5f22,2023-08-23T11:00:58+02:00,63,111,4
22de3da,2023-08-23T11:21:18+02:00,63,112,4
d575838,2023-08-23T10:02:47+00:00,63,110,4
eed1b15,2023-08-25T11:05:19+02:00,63,110,4
6b0f642,2023-08-25T11:09:18+00:00,63,110,4
10c7e2c,2023-08-25T14:31:43+02:00,63,110,4
3dc5b79,2023-08-28T09:30:12+02:00,63,110,4
f243416,2023-08-28T09:35:22+02:00,63,110,4
49ef3d5,2023-08-28T10:13:11+02:00,63,110,4
c8f222d,2023-08-28T10:13:54+02:00,63,110,4
b160fa4,2023-08-28T10:19:09+02:00,63,110,4
b3ab178,2023-08-28T14:48:38+02:00,63,110,4
c1e8ada,2023-08-30T12:01:48+02:00,63,110,4
8503a9e,2023-08-30T11:18:19+00:00,63,110,4
33487ba,2023-08-30T13:39:41+02:00,63,110,4
d78657f,2023-08-31T10:50:32+02:00,63,110,4
513695c,2023-08-31T10:55:08+02:00,63,110,4
87f70f0,2023-08-31T16:12:50+02:00,63,109,4
253ae0d,2023-08-31T17:48:49+02:00,63,109,4
47ecfa1,2023-09-04T12:53:09+02:00,63,109,4
ac59575,2023-09-04T16:31:05+02:00,63,109,4
3c8a2c1,2023-09-04T16:34:29+02:00,63,109,4
7db053e,2023-09-04T16:40:50+02:00,63,109,4
cc2f679,2023-09-04T16:44:21+02:00,63,109,4
7c0a4e6,2023-09-04T16:50:40+02:00,63,109,4
8b824db,2023-09-05T11:18:41+02:00,63,109,4
d8bd031,2023-09-05T11:21:52+02:00,63,109,4
8175e00,2023-09-05T11:27:14+02:00,63,109,4
e4b5fac,2023-09-05T13:02:39+02:00,63,109,4
a16637a,2023-09-05T13:26:52+02:00,63,109,4
a15d459,2023-09-05T13:55:39+02:00,63,109,4
038c11c,2023-09-05T14:36:28+02:00,63,109,4
035c06b,2023-09-05T14:37:28+02:00,63,109,4
75e09d8,2023-09-05T15:25:35+02:00,63,111,4
80df920,2023-09-06T09:00:52+02:00,63,109,4
24bb52d,2023-09-06T10:01:17+02:00,63,109,4
b15cbbc,2023-09-06T10:06:06+02:00,63,109,4
6472280,2023-09-06T10:08:47+02:00,63,111,4
648e61e,2023-09-06T10:11:43+02:00,63,111,4
39180cc,2023-09-06T10:11:58+02:00,63,109,4
4c1476e,2023-09-06T10:14:36+02:00,63,109,4
9a14d53,2023-09-06T10:24:44+02:00,63,109,4
5b8ece5,2023-09-06T14:17:07+02:00,63,109,4
c6f57c9,2023-09-06T14:18:19+02:00,63,109,4
442ebaa,2023-09-07T12:23:10+02:00,63,111,4
6180e06,2023-09-07T12:25:31+02:00,63,109,4
3781159,2023-09-08T10:15:29+02:00,63,109,4
9f1a12b,2023-09-08T11:48:45+02:00,63,109,4
e82d757,2023-09-08T11:49:42+02:00,63,109,4
6490b42,2023-09-08T11:50:54+02:00,63,109,4
e438dfc,2023-09-08T11:54:40+02:00,63,109,4
8f5f462,2023-09-08T12:03:21+02:00,63,109,4
c8b039b,2023-09-08T12:53:09+02:00,63,109,4
a921fdd,2023-09-08T10:55:54+00:00,62,109,4
a2c4b66,2023-09-08T11:05:57+00:00,62,109,4
a8ba13b,2023-09-11T12:33:46+00:00,61,109,4
1334a67,2023-09-11T16:05:52+02:00,63,109,4
7232261,2023-09-12T09:09:03+02:00,61,109,4
e53b109,2023-09-12T13:57:33+02:00,63,109,4
9cc1c22,2023-09-12T13:57:57+02:00,61,109,4
468630a,2023-09-12T14:00:34+02:00,61,109,4
1b0287f,2023-09-14T11:52:38+02:00,61,109,4
d0ff8c2,2023-09-14T12:50:25+02:00,61,109,4
a58563f,2023-09-14T13:25:03+02:00,61,109,4
5e63fc1,2023-09-14T16:31:44+02:00,62,109,4
4b672dc,2023-09-18T10:42:42+02:00,62,109,4
8227538,2023-09-18T11:41:44+02:00,62,109,4
807c51d,2023-09-18T12:03:43+02:00,62,111,4
a6c4ff1,2023-09-18T13:24:33+02:00,62,109,4
4cd74c4,2023-09-19T09:05:25+02:00,62,109,4
64b0acd,2023-09-19T15:01:54+02:00,61,109,4
11e580c,2023-09-21T10:08:05+02:00,61,111,4
d62d2ba,2023-09-21T17:13:48+02:00,61,109,4
4f2e8f1,2023-09-21T19:27:02+02:00,61,109,4
97148a8,2023-09-22T13:20:46+02:00,61,110,4
1a4e792,2023-09-22T14:18:58+02:00,61,110,4
26f85bb,2023-09-25T10:03:59+02:00,61,109,4
35f88f1,2023-09-25T12:02:59+02:00,61,109,4
a76a100,2023-09-25T10:06:37+00:00,61,109,4
3ad91d8,2023-09-25T16:18:24+02:00,61,110,4
c6312ab,2023-09-25T19:24:38+02:00,61,109,4
89a90d1,2023-09-26T15:23:56+02:00,61,110,4
bb5acd3,2023-09-26T16:40:52+02:00,61,110,4
4109674,2023-09-27T12:12:24+02:00,61,109,4
e14a45d,2023-09-27T14:01:23+02:00,61,109,4
ed01a30,2023-09-27T15:44:11+02:00,61,109,4
3817bc2,2023-09-27T16:12:03+02:00,61,109,4
0f9cbd0,2023-09-27T16:13:54+02:00,61,109,4
e37e57a,2023-09-27T16:14:29+02:00,61,109,4
f70de58,2023-09-27T17:36:32+02:00,61,109,4
6a4d075,2023-09-27T17:37:19+02:00,61,110,4
157056a,2023-09-27T17:58:16+02:00,61,109,4
78b9901,2023-09-28T13:48:32+02:00,61,109,4
8e60cd8,2023-09-28T14:20:07+00:00,61,109,4
